GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
comdirect-rest-api,eu.wuttke.comdirect.account,AccountService,36,82,2,2,6,11,2,4,0,4
comdirect-rest-api,eu.wuttke.comdirect.account,AccountsPage,3,14,0,0,1,6,1,4,1,4
comdirect-rest-api,eu.wuttke.comdirect.account,Account,24,35,0,0,8,17,8,9,8,9
comdirect-rest-api,eu.wuttke.comdirect.account,TransactionsPage,6,18,0,0,2,8,2,5,2,5
comdirect-rest-api,eu.wuttke.comdirect.account,Transaction,39,62,0,0,13,30,13,16,13,16
comdirect-rest-api,eu.wuttke.comdirect.account,TransactionAggregation,15,23,0,0,5,11,5,6,5,6
comdirect-rest-api,eu.wuttke.comdirect.account,BankContact,9,15,0,0,3,7,3,4,3,4
comdirect-rest-api,eu.wuttke.comdirect.account,AccountBalance,15,30,0,0,5,14,5,8,5,8
comdirect-rest-api,eu.wuttke.comdirect.value,PageIndex,6,11,0,0,2,5,2,3,2,3
comdirect-rest-api,eu.wuttke.comdirect.value,Amount,6,11,0,0,2,5,2,3,2,3
comdirect-rest-api,eu.wuttke.comdirect.value,CodedValue,6,11,0,0,2,5,2,3,2,3
comdirect-rest-api,eu.wuttke.comdirect.cli,ComdirectTransactionsApp,79,0,0,0,18,0,2,0,2,0
comdirect-rest-api,eu.wuttke.comdirect.login,Tokens,0,21,0,0,0,8,0,4,0,4
comdirect-rest-api,eu.wuttke.comdirect.login,InitiateLoginService,62,241,4,4,13,35,4,6,0,6
comdirect-rest-api,eu.wuttke.comdirect.login,ComdirectSession,0,15,0,0,0,6,0,3,0,3
comdirect-rest-api,eu.wuttke.comdirect.login,LoginCredentials,0,27,0,0,0,10,0,5,0,5
comdirect-rest-api,eu.wuttke.comdirect.login,FinalizeLoginService,36,174,2,2,8,24,2,4,0,4
comdirect-rest-api,eu.wuttke.comdirect.login,InitiateLoginResult,0,33,0,0,0,12,0,6,0,6
comdirect-rest-api,eu.wuttke.comdirect.login,ChallengeType,10,48,3,3,3,8,3,2,0,2
comdirect-rest-api,eu.wuttke.comdirect.util,BaseComdirectService,2,58,1,1,1,14,1,4,0,4
comdirect-rest-api,eu.wuttke.comdirect.util,SimpleHttpClient,67,0,0,0,14,0,5,0,5,0
comdirect-rest-api,eu.wuttke.comdirect.util,ComdirectException,16,0,0,0,6,0,3,0,3,0
comdirect-rest-api,eu.wuttke.comdirect.util,SimpleHttpResponse,0,21,0,0,0,8,0,4,0,4
